ocid,id,tender/id,tender/documents/0/id,tender/documents/0/documentType,tender/documents/0/description,tender/documents/0/datePublished,tender/documents/0/format,tender/documents/0/url,tender/documents/0/title
ocds-lcuori-WRzbRe-CPR-010-DGC-UATSV-2014-2,ocds-lcuori-WRzbRe-CPR-010-DGC-UATSV-2014-2/3,WRzbRe-CPR-010-DGC-UATSV-2014-2,51404,biddingDocuments,Pliego o Terminos de Referencia,2014-09-08T16:48:52.593000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic10CPR-010-DGC-UATSV-2014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-lRo92L-45-2,ocds-lcuori-lRo92L-45-2/3,lRo92L-45-2,53117,tenderNotice,Aviso de Prensa,2014-10-21T12:55:14.153000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8945100-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-lRo92L-45-2,ocds-lcuori-lRo92L-45-2/3,lRo92L-45-2,53118,biddingDocuments,Pliego o Terminos de Referencia,2014-10-21T12:55:27.687000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8945201-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-lRo92L-45-2,ocds-lcuori-lRo92L-45-2/3,lRo92L-45-2,53119,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-10-21T13:34:34.657000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8945602-ActadeRecepcionyAperturadeOfertas.docx,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-ERpaPr-59-2014-2,ocds-lcuori-ERpaPr-59-2014-2/3,ERpaPr-59-2014-2,51446,biddingDocuments,Pliego o Terminos de Referencia,2014-09-10T16:43:21.467000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8859-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-ERpaPr-60-2014-2,ocds-lcuori-ERpaPr-60-2014-2/3,ERpaPr-60-2014-2,51449,biddingDocuments,Pliego o Terminos de Referencia,2014-09-10T16:48:42.607000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8860-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-7rBxpG-Lprivada No.05-2014-2,ocds-lcuori-7rBxpG-Lprivada No.05-2014-2/3,7rBxpG-Lprivada No.05-2014-2,51452,tenderNotice,Aviso de Prensa,2014-09-11T09:00:00.580000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic123Lprivada%20No.05-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-7rBxpG-Lprivada No.05-2014-2,ocds-lcuori-7rBxpG-Lprivada No.05-2014-2/3,7rBxpG-Lprivada No.05-2014-2,51453,biddingDocuments,Pliego o Terminos de Referencia,2014-09-11T09:00:13.240000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic123Lprivada%20No.05-2014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-7rBxpG-Lprivada No.05-2014-2,ocds-lcuori-7rBxpG-Lprivada No.05-2014-2/3,7rBxpG-Lprivada No.05-2014-2,55685,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2015-01-06T15:00:06.913000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic123Lprivada%20No.05-2014602-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2/3,orvDGM-LPN-SANAA-PAPSAC-004-2014-2,51463,tenderNotice,Aviso de Prensa,2014-09-11T14:18:09.163000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-PAPSAC-004-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2/3,orvDGM-LPN-SANAA-PAPSAC-004-2014-2,51464,biddingDocuments,Pliego o Terminos de Referencia,2014-09-11T14:18:37.387000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-PAPSAC-004-2014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2/3,orvDGM-LPN-SANAA-PAPSAC-004-2014-2,54298,x_amendment,Enmienda o Adendum,2014-11-19T10:55:19.027000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-PAPSAC-004-2014403-EnmiendaoAdendum.pdf,Enmienda o Adendum
ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2/3,orvDGM-LPN-SANAA-PAPSAC-004-2014-2,54299,x_amendment,Enmienda o Adendum,2014-11-19T10:55:41.653000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-PAPSAC-004-2014404-EnmiendaoAdendum.pdf,Enmienda o Adendum
ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2/3,orvDGM-LPN-SANAA-PAPSAC-004-2014-2,54297,clarifications,Aclaratoria,2014-11-19T10:54:53.747000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-PAPSAC-004-2014502-Aclaratoria.pdf,Aclaratoria
ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-PAPSAC-004-2014-2/3,orvDGM-LPN-SANAA-PAPSAC-004-2014-2,54300,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-11-19T10:57:39.447000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-PAPSAC-004-2014605-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-yRlaDr-09.-2014-2,ocds-lcuori-yRlaDr-09.-2014-2/3,yRlaDr-09.-2014-2,51466,biddingDocuments,Pliego o Terminos de Referencia,2014-09-11T14:30:50.033000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic7609.-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-yRlaDr-10-2014-2,ocds-lcuori-yRlaDr-10-2014-2/3,yRlaDr-10-2014-2,51467,biddingDocuments,Pliego o Terminos de Referencia,2014-09-11T14:40:07.750000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic7610-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-yRlaDr-10-2014-2,ocds-lcuori-yRlaDr-10-2014-2/3,yRlaDr-10-2014-2,51500,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-12T10:40:40-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic7610-2014601-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-orvDGM-CP-SANAA-PROSAGUA-02-2014-2,ocds-lcuori-orvDGM-CP-SANAA-PROSAGUA-02-2014-2/3,orvDGM-CP-SANAA-PROSAGUA-02-2014-2,51468,tenderNotice,Aviso de Prensa,2014-09-11T14:40:47.040000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7CP-SANAA-PROSAGUA-02-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-orvDGM-CP-SANAA-PROSAGUA-02-2014-2,ocds-lcuori-orvDGM-CP-SANAA-PROSAGUA-02-2014-2/3,orvDGM-CP-SANAA-PROSAGUA-02-2014-2,51469,biddingDocuments,Pliego o Terminos de Referencia,2014-09-11T14:41:04.230000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7CP-SANAA-PROSAGUA-02-2014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-orvDGM-CP-SANAA-PROSAGUA-02-2014-2,ocds-lcuori-orvDGM-CP-SANAA-PROSAGUA-02-2014-2/3,orvDGM-CP-SANAA-PROSAGUA-02-2014-2,51473,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-11T14:52:57.357000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7CP-SANAA-PROSAGUA-02-2014602-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-yRlaDr-12-2014-2,ocds-lcuori-yRlaDr-12-2014-2/3,yRlaDr-12-2014-2,51474,biddingDocuments,Pliego o Terminos de Referencia,2014-09-11T14:54:51.990000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic7612-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-yRlaDr-12-2014-2,ocds-lcuori-yRlaDr-12-2014-2/3,yRlaDr-12-2014-2,51508,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-12T10:46:08.173000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic7612-2014601-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-yRlaDr-17-2014-2,ocds-lcuori-yRlaDr-17-2014-2/3,yRlaDr-17-2014-2,51481,biddingDocuments,Pliego o Terminos de Referencia,2014-09-11T15:42:16.347000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic7617-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-yRlaDr-17-2014-2,ocds-lcuori-yRlaDr-17-2014-2/3,yRlaDr-17-2014-2,51516,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-12T10:52:01.097000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic7617-2014601-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-jRDkQG-HMCR-468-2014-2,ocds-lcuori-jRDkQG-HMCR-468-2014-2/4,jRDkQG-HMCR-468-2014-2,55235,tenderNotice,Aviso de Prensa,2014-12-16T10:17:12.507000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-468-2014101-AvisodePrensa.xlsx,Aviso de Prensa
ocds-lcuori-jRDkQG-HMCR-468-2014-2,ocds-lcuori-jRDkQG-HMCR-468-2014-2/4,jRDkQG-HMCR-468-2014-2,55234,biddingDocuments,Pliego o Terminos de Referencia,2014-12-16T10:17:04.060000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-468-2014200-PliegooTerminosdeReferencia.docx,Pliego o Terminos de Referencia
ocds-lcuori-jRDkQG-HMCR-468-2014-2,ocds-lcuori-jRDkQG-HMCR-468-2014-2/4,jRDkQG-HMCR-468-2014-2,55461,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-12-22T13:41:33.257000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-468-2014602-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-ERpaPr-61-2014-2,ocds-lcuori-ERpaPr-61-2014-2/3,ERpaPr-61-2014-2,51554,biddingDocuments,Pliego o Terminos de Referencia,2014-09-12T16:08:06.003000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8861-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-orveZR-LP-00004-2014-2,ocds-lcuori-orveZR-LP-00004-2014-2/3,orveZR-LP-00004-2014-2,51559,tenderNotice,Aviso de Prensa,2014-09-16T09:46:17.317000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic607LP-00004-2014100-AvisodePrensa.xls,Aviso de Prensa
ocds-lcuori-orveZR-LP-00004-2014-2,ocds-lcuori-orveZR-LP-00004-2014-2/3,orveZR-LP-00004-2014-2,51869,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-24T11:47:19.450000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic607LP-00004-2014601-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2,ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2/3,1RaEMR-Licitacion Privada  N° 0028-2014-2,55282,tenderNotice,Aviso de Prensa,2014-12-17T08:37:08.943000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic103Licitacion%20Privada%20%20N%C2%B0%200028-2014100-AvisodePrensa.jpg,Aviso de Prensa
ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2,ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2/3,1RaEMR-Licitacion Privada  N° 0028-2014-2,55283,biddingDocuments,Pliego o Terminos de Referencia,2014-12-17T08:43:47.857000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic103Licitacion%20Privada%20%20N%C2%B0%200028-2014201-PliegooTerminosdeReferencia.jpg,Pliego o Terminos de Referencia
ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2,ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2/3,1RaEMR-Licitacion Privada  N° 0028-2014-2,55348,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-12-19T09:22:56.430000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic103Licitacion%20Privada%20%20N%C2%B0%200028-2014602-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-yRl6pL-CI 008 SSIS PRAF BM 4774 2014-2,ocds-lcuori-yRl6pL-CI 008 SSIS PRAF BM 4774 2014-2/3,yRl6pL-CI 008 SSIS PRAF BM 4774 2014-2,51574,tenderNotice,Aviso de Prensa,2014-09-16T11:16:03.583000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic232CI%20008%20SSIS%20PRAF%20BM%204774%202014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-yRl6pL-CI 008 SSIS PRAF BM 4774 2014-2,ocds-lcuori-yRl6pL-CI 008 SSIS PRAF BM 4774 2014-2/3,yRl6pL-CI 008 SSIS PRAF BM 4774 2014-2,51575,biddingDocuments,Pliego o Terminos de Referencia,2014-09-16T11:16:43.137000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic232CI%20008%20SSIS%20PRAF%20BM%204774%202014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-7GX7XL-Gesalud-377-3CV-CI Linea-PEP-1059-2,ocds-lcuori-7GX7XL-Gesalud-377-3CV-CI Linea-PEP-1059-2/3,7GX7XL-Gesalud-377-3CV-CI Linea-PEP-1059-2,51611,tenderNotice,Aviso de Prensa,2014-09-16T14:23:33.710000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic559Gesalud-377-3CV-CI%20Linea-PEP-1059100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-7GX7XL-Gesalud-377-3CV-CI Linea-PEP-1059-2,ocds-lcuori-7GX7XL-Gesalud-377-3CV-CI Linea-PEP-1059-2/3,7GX7XL-Gesalud-377-3CV-CI Linea-PEP-1059-2,51612,biddingDocuments,Pliego o Terminos de Referencia,2014-09-16T14:30:01.343000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic559Gesalud-377-3CV-CI%20Linea-PEP-1059201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1092-2,ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1092-2/3,7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1092-2,51621,tenderNotice,Aviso de Prensa,2014-09-16T15:36:48.400000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic559Gesalud-378-3CV-CI-Linea-PEP-1092100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1092-2,ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1092-2/3,7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1092-2,51622,biddingDocuments,Pliego o Terminos de Referencia,2014-09-16T15:37:20.917000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic559Gesalud-378-3CV-CI-Linea-PEP-1092201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1048-2,ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1048-2/3,7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1048-2,51623,tenderNotice,Aviso de Prensa,2014-09-16T15:54:49.173000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic559Gesalud-378-3CV-CI-Linea-PEP-1048100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1048-2,ocds-lcuori-7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1048-2/3,7GX7XL-Gesalud-378-3CV-CI-Linea-PEP-1048-2,51624,biddingDocuments,Pliego o Terminos de Referencia,2014-09-16T15:55:15.140000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic559Gesalud-378-3CV-CI-Linea-PEP-1048201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 17-2015-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 17-2015-2/3,4LOxWG-LICITACION PRIVADA NO. 17-2015-2,55327,biddingDocuments,Pliego o Terminos de Referencia,2014-12-18T12:10:23.693000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20NO.%2017-2015200-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 17-2015-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 17-2015-2/3,4LOxWG-LICITACION PRIVADA NO. 17-2015-2,56882,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2015-02-17T15:09:16.050000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20NO.%2017-2015601-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 24-2015-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 24-2015-2/3,4LOxWG-LICITACION PRIVADA NO. 24-2015-2,55319,biddingDocuments,Pliego o Terminos de Referencia,2014-12-18T12:04:48.203000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20NO.%2024-2015200-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 24-2015-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 24-2015-2/3,4LOxWG-LICITACION PRIVADA NO. 24-2015-2,57004,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2015-02-19T14:26:15.087000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20NO.%2024-2015601-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-lRo92L-47-2,ocds-lcuori-lRo92L-47-2/3,lRo92L-47-2,52134,tenderNotice,Aviso de Prensa,2014-09-30T16:10:51.740000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8947100-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-lRo92L-47-2,ocds-lcuori-lRo92L-47-2/3,lRo92L-47-2,52138,biddingDocuments,Pliego o Terminos de Referencia,2014-09-30T16:15:54.240000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8947201-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-lRo92L-47-2,ocds-lcuori-lRo92L-47-2/3,lRo92L-47-2,52179,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-10-01T12:12:46.833000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8947602-ActadeRecepcionyAperturadeOfertas.docx,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-1RaElR-lp-013-2014-hsbi-2,ocds-lcuori-1RaElR-lp-013-2014-hsbi-2/3,1RaElR-lp-013-2014-hsbi-2,51668,tenderNotice,Aviso de Prensa,2014-09-17T16:46:01.650000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic91lp-013-2014-hsbi100-AvisodePrensa.jpg,Aviso de Prensa
ocds-lcuori-1RaElR-lp-013-2014-hsbi-2,ocds-lcuori-1RaElR-lp-013-2014-hsbi-2/3,1RaElR-lp-013-2014-hsbi-2,51669,biddingDocuments,Pliego o Terminos de Referencia,2014-09-17T16:52:57.990000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic91lp-013-2014-hsbi201-PliegooTerminosdeReferencia.jpg,Pliego o Terminos de Referencia
ocds-lcuori-1RaElR-lp-013-2014-hsbi-2,ocds-lcuori-1RaElR-lp-013-2014-hsbi-2/3,1RaElR-lp-013-2014-hsbi-2,51899,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-24T15:09:39.987000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic91lp-013-2014-hsbi602-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2/3,wrV3LP-COT-FHIS-23-2014-2do-2,56083,tenderNotice,Aviso de Prensa,2015-01-28T14:40:00.390000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-2014-2do101-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2/3,wrV3LP-COT-FHIS-23-2014-2do-2,51672,biddingDocuments,Pliego o Terminos de Referencia,2014-09-17T17:05:27.723000-06:00,application/zip,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-2014-2do200-PliegooTerminosdeReferencia.zip,Pliego o Terminos de Referencia
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2/3,wrV3LP-COT-FHIS-23-2014-2do-2,56099,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2015-01-28T16:02:27.580000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-2014-2do602-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-8L47Pr-L-P 052-2014-2,ocds-lcuori-8L47Pr-L-P 052-2014-2/3,8L47Pr-L-P 052-2014-2,51676,biddingDocuments,Pliego o Terminos de Referencia,2014-09-18T08:53:37.700000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic94L-P%20052-2014200-PliegooTerminosdeReferencia.xls,Pliego o Terminos de Referencia
ocds-lcuori-8L47Pr-L-P 052-2014-2,ocds-lcuori-8L47Pr-L-P 052-2014-2/3,8L47Pr-L-P 052-2014-2,51780,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-22T08:12:30.980000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic94L-P%20052-2014601-ActadeRecepcionyAperturadeOfertas.PDF,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014_2do-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014_2do-2/3,wrV3LP-LPR-FHIS-16-2014_2do-2,51685,biddingDocuments,Pliego o Terminos de Referencia,2014-09-18T10:34:01.960000-06:00,application/zip,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-2014_2do200-PliegooTerminosdeReferencia.zip,Pliego o Terminos de Referencia
ocds-lcuori-JL7b2r-013-UAP-SREIC-BID-2014-2,ocds-lcuori-JL7b2r-013-UAP-SREIC-BID-2014-2/3,JL7b2r-013-UAP-SREIC-BID-2014-2,51687,tenderNotice,Aviso de Prensa,2014-09-18T10:49:14.240000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic687013-UAP-SREIC-BID-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-JL7b2r-013-UAP-SREIC-BID-2014-2,ocds-lcuori-JL7b2r-013-UAP-SREIC-BID-2014-2/3,JL7b2r-013-UAP-SREIC-BID-2014-2,55560,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-12-26T14:40:52.210000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic687013-UAP-SREIC-BID-2014601-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-orvovL-PCDE-UNAH-SEAPI-1-2014-ESTUDIO-GEOTECNICO-C3-2,ocds-lcuori-orvovL-PCDE-UNAH-SEAPI-1-2014-ESTUDIO-GEOTECNICO-C3-2/3,orvovL-PCDE-UNAH-SEAPI-1-2014-ESTUDIO-GEOTECNICO-C3-2,51688,biddingDocuments,Pliego o Terminos de Referencia,2014-09-18T11:51:32.523000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic151PCDE-UNAH-SEAPI-1-2014-ESTUDIO-GEOTECNICO-C3200-PliegooTerminosdeReferencia.PDF,Pliego o Terminos de Referencia
ocds-lcuori-wrV3LP-CP-FHIS-31-2014-2,ocds-lcuori-wrV3LP-CP-FHIS-31-2014-2/3,wrV3LP-CP-FHIS-31-2014-2,51773,biddingDocuments,Pliego o Terminos de Referencia,2014-09-19T18:04:43.413000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11CP-FHIS-31-2014200-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
