ocid,id,contracts/0/id,contracts/0/awardID,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/title,contracts/0/localProcurementCategory,contracts/0/description,contracts/0/dateSigned,contracts/0/value/amount,contracts/0/value/currency
ocds-lcuori-4LOV1r-DICTA FUENTE 11-CM-MD-021-2020-1,ocds-lcuori-4LOV1r-DICTA FUENTE 11-CM-MD-021-2020-1/3,4LOV1r-DICTA FUENTE 11-CM-018-2020,4LOV1r-DICTA FUENTE 11-CM-MD-021-2020-1,4LOV1r-4LOe9R,Unidad Ejecutora 01,DICTA FUENTE 11-CM-018-2020,goodsOrServices,Termos conmemorativos para ser entregados al los padres en su dia,2020-03-12T00:00:00-06:00,9214.95,HNL
ocds-lcuori-4LOV1r-DICTA FUENTE 12-CM-MD-001-2020-1,ocds-lcuori-4LOV1r-DICTA FUENTE 12-CM-MD-001-2020-1/2,4LOV1r-DICTA FUENTE 12-CM-001-2020,4LOV1r-DICTA FUENTE 12-CM-MD-001-2020-1,4LOV1r-4LOe9R,Unidad Ejecutora 01,DICTA FUENTE 12-CM-001-2020,goodsOrServices,Compra de 100 bolsas de cal que serán utilizadas para desinfectar los estanques en el Proyecto Tilapia de Omonita,2020-03-10T00:00:00-06:00,5999.55,HNL
ocds-lcuori-mGEvMR-HMM-C 04-2020-1,ocds-lcuori-mGEvMR-HMM-C 04-2020-1/2,mGEvMR-HMM-C 04-2020,mGEvMR-HMM-C 04-2020-1,mGEvMR-mrYzL9,Hospital Psiquiátrico Mario Mendoza ,HMM-C 04-2020,goodsOrServices,31110 PRODUCTOS ALIMENTICIOS Y BEBIDAS,2020-04-09T00:00:00-06:00,269814.0,HNL
ocds-lcuori-mGEvMR-HMM-C 05-2020-1,ocds-lcuori-mGEvMR-HMM-C 05-2020-1/3,mGEvMR-HMM-C 05-2020,mGEvMR-HMM-C 05-2020-1,mGEvMR-mrYzL9,Hospital Psiquiátrico Mario Mendoza ,HMM-C 05-2020,goodsOrServices,31110 PRODUCTOS ALIMENTICIOS Y BEBIDAS,2020-04-03T00:00:00-06:00,274542.0,HNL
ocds-lcuori-mGEvMR-HMM-C 07-2020-1,ocds-lcuori-mGEvMR-HMM-C 07-2020-1/4,mGEvMR-HMM-C 07-2020,mGEvMR-HMM-C 07-2020-1,mGEvMR-mrYzL9,Hospital Psiquiátrico Mario Mendoza ,HMM-C 07-2020,goodsOrServices,31110 PRODUCTOS ALIMENTICIOS Y BEBIDAS,2020-04-03T00:00:00-06:00,288640.0,HNL
ocds-lcuori-mGEvMR-HMM-C 09-2020-1,ocds-lcuori-mGEvMR-HMM-C 09-2020-1/3,mGEvMR-HMM-C 09-2020,mGEvMR-HMM-C 09-2020-1,mGEvMR-mrYzL9,Hospital Psiquiátrico Mario Mendoza ,HMM-C 09-2020,goodsOrServices,31110 PRODUCTOS ALIMENTICIOS Y BEBIDAS,2020-04-03T00:00:00-06:00,197292.0,HNL
ocds-lcuori-8L47Pr-L-P 001-2020-HO-2,ocds-lcuori-8L47Pr-L-P 001-2020-HO-2/2,8L47Pr-002-2020,8L47Pr-L-P 001-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,002-2020,goodsOrServices,COMPRA DE GUANTES PARA ATENCION DE PACEINTES,2020-03-30T00:00:00-06:00,131250.65,HNL
ocds-lcuori-8L47Pr-LP-002-2020-HO-2,ocds-lcuori-8L47Pr-LP-002-2020-HO-2/2,8L47Pr-003-2020,8L47Pr-LP-002-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,003-2020,goodsOrServices,COMPRA DE GUANTES PARA QUIRIFANO,2020-03-30T00:00:00-06:00,200000.0,HNL
ocds-lcuori-8L47Pr-L-P 003-2020-HO-2,ocds-lcuori-8L47Pr-L-P 003-2020-HO-2/2,8L47Pr-004-2020,8L47Pr-L-P 003-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,004-2020,goodsOrServices,COMPRA DE CATETERES,2020-03-30T00:00:00-06:00,311500.0,HNL
ocds-lcuori-8L47Pr-CD-002-2020-HO-1,ocds-lcuori-8L47Pr-CD-002-2020-HO-1/2,8L47Pr-007-2020,8L47Pr-CD-002-2020-HO-1,8L47Pr-mrYzL9,Hospital de Occidente,007-2020,goodsOrServices,COMPRA DE GUANTES PARA QUIRIFANO,2020-03-30T00:00:00-06:00,62000.0,HNL
ocds-lcuori-8L47Pr-LP-006-2020-HO-2,ocds-lcuori-8L47Pr-LP-006-2020-HO-2/2,8L47Pr-010-2020,8L47Pr-LP-006-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,010-2020,goodsOrServices,COMPRA DE GASA HOSPITALARIA,2020-03-30T00:00:00-06:00,275900.0,HNL
ocds-lcuori-8L47Pr-CD-003-2020-HO-1,ocds-lcuori-8L47Pr-CD-003-2020-HO-1/2,8L47Pr-012-2020,8L47Pr-CD-003-2020-HO-1,8L47Pr-mrYzL9,Hospital de Occidente,012-2020,goodsOrServices,COMPRA DE SONDAS PARA PACIENTES,2020-03-30T00:00:00-06:00,38130.0,HNL
ocds-lcuori-8L47Pr-CD-004-2020-HO-1,ocds-lcuori-8L47Pr-CD-004-2020-HO-1/2,8L47Pr-016-2020,8L47Pr-CD-004-2020-HO-1,8L47Pr-mrYzL9,Hospital de Occidente,016-2020,goodsOrServices,COMPRA DE INSUMOS PARA ATENCION DE PACIENTES,2020-03-27T00:00:00-06:00,31162.5,HNL
ocds-lcuori-8L47Pr-CD-005-2020-HO-1,ocds-lcuori-8L47Pr-CD-005-2020-HO-1/2,8L47Pr-018-2020,8L47Pr-CD-005-2020-HO-1,8L47Pr-mrYzL9,Hospital de Occidente,018-2020,goodsOrServices,COMPRA DE ESPARADRAPO,2020-03-30T00:00:00-06:00,82512.5,HNL
ocds-lcuori-8L47Pr-L-P 009-2020-HO-2,ocds-lcuori-8L47Pr-L-P 009-2020-HO-2/2,8L47Pr-021-2020,8L47Pr-L-P 009-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,021-2020,goodsOrServices,COMPRA DE CEPILLOS QUIRURGICOS,2020-03-30T00:00:00-06:00,10800.0,HNL
ocds-lcuori-8L47Pr-CD-006-2020-HO-1,ocds-lcuori-8L47Pr-CD-006-2020-HO-1/2,8L47Pr-022-2020,8L47Pr-CD-006-2020-HO-1,8L47Pr-mrYzL9,Hospital de Occidente,022-2020,goodsOrServices,COMPRA DE BATAS DESCARTABLES,2020-03-30T00:00:00-06:00,72900.0,HNL
ocds-lcuori-8L47Pr-LP-010-2020-HO-2,ocds-lcuori-8L47Pr-LP-010-2020-HO-2/3,8L47Pr-023-2020,8L47Pr-LP-010-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,023-2020,goodsOrServices,COMPRA DE ESPARADRAPO,2020-03-27T00:00:00-06:00,171981.25,HNL
ocds-lcuori-8L47Pr-LP-010-2020-HO-2,ocds-lcuori-8L47Pr-LP-010-2020-HO-2/3,8L47Pr-024-2020,8L47Pr-LP-010-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,024-2020,goodsOrServices,COMPRA DE ESPARADRAPO,2020-03-30T00:00:00-06:00,31500.0,HNL
ocds-lcuori-8L47Pr-LP-010-2020-HO-2,ocds-lcuori-8L47Pr-LP-010-2020-HO-2/3,8L47Pr-025-2020,8L47Pr-LP-010-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,025-2020,goodsOrServices,COMPRA DE ESPARADRAPO,2020-03-30T00:00:00-06:00,39500.0,HNL
ocds-lcuori-mGEvMR-HMM-C 11-2020-1,ocds-lcuori-mGEvMR-HMM-C 11-2020-1/3,mGEvMR-HMM-C 11-2020,mGEvMR-HMM-C 11-2020-1,mGEvMR-mrYzL9,Hospital Psiquiátrico Mario Mendoza ,HMM-C 11-2020,goodsOrServices,33100 PRODUCTO DE PAPEL Y CARTON,2020-04-03T00:00:00-06:00,224664.0,HNL
ocds-lcuori-JLKQxR-LP 001-2020-2,ocds-lcuori-JLKQxR-LP 001-2020-2/3,JLKQxR-043-3820-2020,JLKQxR-LP 001-2020-2,JLKQxR-mrYzL9,Región Departamental de Salud de Olancho No. 15,043-3820-2020,goodsOrServices,35620 ADQUISICION DE DIESEL,2020-03-15T00:00:00-06:00,605783.42,HNL
ocds-lcuori-JL7W2L-1601-2020-1,ocds-lcuori-JL7W2L-1601-2020-1/3,JL7W2L-1601-2020,JL7W2L-1601-2020-1,JL7W2L-mrYzL9,Región Departamental de Salud de Santa Bárbara No. 16,1601-2020,goodsOrServices,35610,2020-03-27T00:00:00-06:00,199998.75,HNL
ocds-lcuori-8L47Pr-L-P 005-2020-HO-2,ocds-lcuori-8L47Pr-L-P 005-2020-HO-2/2,8L47Pr-006-2020,8L47Pr-L-P 005-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,006-2020,goodsOrServices,COMPRA DE CATETER PARA ADULTO,2020-03-30T00:00:00-06:00,280000.0,HNL
ocds-lcuori-8L47Pr-LP-007-2020-HO-2,ocds-lcuori-8L47Pr-LP-007-2020-HO-2/2,8L47Pr-011-2020,8L47Pr-LP-007-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,011-2020,goodsOrServices,COMPRA DE SUTURAS PARA LABOR Y PARTO,2020-03-31T00:00:00-06:00,264000.0,HNL
ocds-lcuori-8L47Pr-L-P 020-2020-HO-2,ocds-lcuori-8L47Pr-L-P 020-2020-HO-2/1,8L47Pr-055-2020,8L47Pr-L-P 020-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,055-2020,goodsOrServices,COMPRA DE DISESL PARA VEHICULOS Y GENERADORES DE ENERGIA DEL HOSPITAL DE OCCIDENTE,2020-04-01T00:00:00-06:00,384031.8,HNL
ocds-lcuori-mGEvMR-HMM-C 06-2020-1,ocds-lcuori-mGEvMR-HMM-C 06-2020-1/3,mGEvMR-HMM-C 06-2020,mGEvMR-HMM-C 06-2020-1,mGEvMR-mrYzL9,Hospital Psiquiátrico Mario Mendoza ,HMM-C 06-2020,goodsOrServices,31110 PRODUCTOS ALIMENTICIOS Y BEBIDAS,2020-04-03T00:00:00-06:00,106260.0,HNL
ocds-lcuori-mGEvMR-HMM-C 10-2020-1,ocds-lcuori-mGEvMR-HMM-C 10-2020-1/3,mGEvMR-HMM-C 10-2020,mGEvMR-HMM-C 10-2020-1,mGEvMR-mrYzL9,Hospital Psiquiátrico Mario Mendoza ,HMM-C 10-2020,goodsOrServices,31110 PRODUCTOS ALIMENTOS Y BEBIDAS,2020-04-03T00:00:00-06:00,225400.0,HNL
ocds-lcuori-8L47Pr-L-P 004-2020-HO-2,ocds-lcuori-8L47Pr-L-P 004-2020-HO-2/2,8L47Pr-005-2020,8L47Pr-L-P 004-2020-HO-2,8L47Pr-mrYzL9,Hospital de Occidente,005-2020,goodsOrServices,INSUMOS PARA QUIRIFANO,2020-03-27T00:00:00-06:00,181240.0,HNL
ocds-lcuori-PLe6mG-HSR-014-2020-1,ocds-lcuori-PLe6mG-HSR-014-2020-1/4,PLe6mG-014-2020,PLe6mG-HSR-014-2020-1,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),014-2020,goodsOrServices,31110-ALIMENTOS Y BEBIDAS PARA PERSONAS,2020-04-10T00:00:00-06:00,86400.0,HNL
ocds-lcuori-PLe6mG-HSR-LP-018-2020-2,ocds-lcuori-PLe6mG-HSR-LP-018-2020-2/4,PLe6mG-018-2020,PLe6mG-HSR-LP-018-2020-2,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),018-2020,goodsOrServices,35620-DIESEL,2020-03-11T00:00:00-06:00,599982.08,HNL
ocds-lcuori-PLe6mG-HSR-LP-006-2020-2,ocds-lcuori-PLe6mG-HSR-LP-006-2020-2/4,PLe6mG-006-2020,PLe6mG-HSR-LP-006-2020-2,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),006-2020,goodsOrServices,31110-ALIMENTOS Y BEBIDAS PARA PERSONAS,2020-03-11T00:00:00-06:00,232800.0,HNL
ocds-lcuori-PR8Q5r-68-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-68-CM-IHT-2020-1/3,PR8Q5r-OC 88-2020,PR8Q5r-68-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 88-2020,goodsOrServices,Compra de un lote de 15 rollos de plástico transparente de 18” de ancho x 1000 pies de largo y Compra de 55 pliegos de plástico poliestireno (dura pack) de ¾ de ancho.,2020-03-14T00:00:00-06:00,11528.75,HNL
ocds-lcuori-oLjYzr-CM-066-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-066-MSFYC-2020-1/2,oLjYzr-373,oLjYzr-CM-066-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,373,goodsOrServices,"ALIMENTACIÓN A PERSONAL EN EMERGENCIA COVID-19			
",2020-03-27T00:00:00-06:00,16784.25,HNL
ocds-lcuori-oLjYzr-CM-067-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-067-MSFYC-2020-1/2,oLjYzr-369,oLjYzr-CM-067-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,369,goodsOrServices,COMPRA DE MATERIAL PARA LA DESINFECCIÓN A PERSONA CON PROBLEMAS RENALES SEÑOR RUFINO SABILLON VALLECILLO,2020-03-20T00:00:00-06:00,1511.41,HNL
ocds-lcuori-PR8Q5r-04-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-04-CM-IHT-2020-1/5,PR8Q5r-OC 12-2020,PR8Q5r-04-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 12-2020,goodsOrServices,"Suscripcion de dos (02) ejemplares diarios del periodico   "" El Heraldo"" con periodo de vigencia de un año, a partir del 1 de febrero de 2020.",2020-02-08T00:00:00-06:00,3300.0,HNL
ocds-lcuori-1RaEMR-CM-HJMG-010-2020-1,ocds-lcuori-1RaEMR-CM-HJMG-010-2020-1/5,1RaEMR-CM-010-2020,1RaEMR-CM-HJMG-010-2020-1,1RaEMR-mrYzL9,Hospital Juan Manuel Gálvez ,CM-010-2020,goodsOrServices,31110 PRODUCTOS ALIMENTICIOS Y BEBIDAS,2020-04-08T00:00:00-06:00,260660.0,HNL
ocds-lcuori-PR8Q5r-32-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-32-CM-IHT-2020-1/3,PR8Q5r-040-2020,PR8Q5r-32-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,040-2020,goodsOrServices,"Compra de boleto aéreo con ruta con ruta Tegucigalpa – Roatán – Tegucigalpa, saliendo en el primer vuelo del Sábado 1 de Febrero por la mañana, y retornando en el último vuelo de la tarde del mismo Sábado 1 de Febrero a favor del pasajero Osman Hernández.",2020-03-13T00:00:00-06:00,6672.0,HNL
ocds-lcuori-vGZWNR-30011639-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011639-IHSS-SPS-1/3,vGZWNR-4300007676,vGZWNR-30011639-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4300007676,goodsOrServices,papel toalla de mano,2020-03-11T00:00:00-06:00,134926.65,HNL
ocds-lcuori-vGZWNR-10006527-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006527-IHSS-SPS-1/4,vGZWNR-4100004550,vGZWNR-10006527-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4100004550,goodsOrServices,SODIO,2020-03-12T00:00:00-06:00,57498.0,HNL
ocds-lcuori-vGZWNR-30011678-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011678-IHSS-SPS-1/3,vGZWNR-4300008733,vGZWNR-30011678-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4300008733,goodsOrServices,FILTRO,2020-03-12T00:00:00-06:00,6086.96,HNL
ocds-lcuori-PR8Q5r-35-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-35-CM-IHT-2020-1/4,PR8Q5r-OC 048-2020,PR8Q5r-35-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 048-2020,goodsOrServices," Compra de boleto para traslado de Nicole Marrder y Julio Carrillo al aeropuerto Ramon Villeda Morales, saliendo de Tegucigalpa a SPS para el Jueves 6 de Febrero del 2020.",2020-04-07T00:00:00-06:00,7282.0,HNL
ocds-lcuori-PR8Q5r-37-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-37-CM-IHT-2020-1/3,PR8Q5r-OC 61-2020,PR8Q5r-37-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 61-2020,goodsOrServices,"Contratacion de Servicios de alimentos y bebidas que incluya salones con su respetivo montaje, mobiliario, audio y sonido según especificaciones técnicas adjuntas y 7 habitaciones Junior Siute según especificaciones técnicas adjuntas, dicho servicio se requiere en el marco de las reuniones de Mercadeo Centroamericano de Turismo (COMECATUR) y del Consejo Centroamericano de Turismo (CCT) a desarrollarse en la ciudad de Tegucigalpa del 19 al 20 de febrero de 2020.",2020-03-13T00:00:00-06:00,269254.11,HNL
ocds-lcuori-4LOV1r-DICTA FUENTE 11-CM-MD-004-2020-1,ocds-lcuori-4LOV1r-DICTA FUENTE 11-CM-MD-004-2020-1/4,4LOV1r-DICTA FUENTE 11-CM-017-2020,4LOV1r-DICTA FUENTE 11-CM-MD-004-2020-1,4LOV1r-4LOe9R,Unidad Ejecutora 01,DICTA FUENTE 11-CM-017-2020,goodsOrServices,Mantenimiento y reparacion de los aires acondicionados de DICTA central y la planta semillas,2020-03-14T00:00:00-06:00,104000.0,HNL
ocds-lcuori-PR8Q5r-56-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-56-CM-IHT-2020-1/6,PR8Q5r-OC 082-2020,PR8Q5r-56-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 082-2020,goodsOrServices," Compra de boleto aéreo a nombre de Virginia Yolanda Ventura con ruta Miami - Washington DC - Miami, saliendo el día 5 y retornando el dia 9 de Marzo de 2020, para poder participar en la rueda de negocios Travel & Adventure Show 2020, la cual se llevara a cabo en la ciudad de Washington DC, USA.",2020-04-07T00:00:00-06:00,9180.0,HNL
ocds-lcuori-PR8Q5r-58-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-58-CM-IHT-2020-1/6,PR8Q5r-OC 086-2020,PR8Q5r-58-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 086-2020,goodsOrServices,"Contratación de un servicio de catering que conste de 130 ordenes de 2 flautas (tortilla de harina rellena con pollo) con sus respectivas salsa, chismol, y queso servido individualmente. Así como también un pastel para 100 personas. Todo esto para servir en el comedor del 4to. piso del IHT a las 12:00 mediodia del Viernes 28 de Febrero del 2020.",2020-04-07T00:00:00-06:00,9602.5,HNL
ocds-lcuori-2Lmz0G-CM-020-BNP-2020-1,ocds-lcuori-2Lmz0G-CM-020-BNP-2020-1/3,2Lmz0G-CA-20-0000040,2Lmz0G-CM-020-BNP-2020-1,2Lmz0G-JL7nrj,Unidad Central,CA-20-0000040,goodsOrServices,PLASTICO PARA EMPAQUE,2020-02-28T00:00:00-06:00,34500.0,HNL
ocds-lcuori-oLjYzr-CM-051-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-051-MSFYC-2020-1/4,oLjYzr-365,oLjYzr-CM-051-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,365,goodsOrServices,Servicio como entrenador de futbol infantil y Juvnil en todo el Mnicipio.,2020-03-16T00:00:00-06:00,180000.0,HNL
ocds-lcuori-oLjYzr-CM-061-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-061-MSFYC-2020-1/3,oLjYzr-367,oLjYzr-CM-061-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,367,goodsOrServices,"COMPRA DE ALIMENTACIÓN PARA PERSONAL DE RECAUDACIÓN DE IMPUESTOS(CATASTRO, CONTROL TRIBUTARIO, TESORERÍA, JUZGADO DE POLICÍA, UMA)",2020-03-14T00:00:00-06:00,6309.99,HNL
ocds-lcuori-oLjYzr-CM-068-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-068-MSFYC-2020-1/2,oLjYzr-370,oLjYzr-CM-068-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,370,goodsOrServices,Compra de Productos Alimenticios (Granos Basicos y Otros) para las personas de todo el Municipio por la emergenciua del COVID-19,2020-03-24T00:00:00-06:00,411150.0,HNL
ocds-lcuori-oLjYzr-CM-069-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-069-MSFYC-2020-1/2,oLjYzr-371,oLjYzr-CM-069-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,371,goodsOrServices,PRODUCTOS DE HIGIENE Y PROTECCION PARA LOS MEDICOS DE LOS CENTROS DE SALUD Y CRUZ ROJA QUE ESTAN A LA ORDEN POR LA EMERGENCIA DEL COVID-19 Y PARA LA POBLACION EN GENERAL.,2020-03-23T00:00:00-06:00,406005.0,HNL
ocds-lcuori-oLjYzr-CM-070-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-070-MSFYC-2020-1/2,oLjYzr-372,oLjYzr-CM-070-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,372,goodsOrServices,COMPRA DE BOLSAS PARA EMPACAR COMIDA QUE SERA DISTRIBUIDA A PERSONAS DE TODO EL MUNICIPIO POR LA EMERGENCIA DEL COVID-19,2020-03-23T00:00:00-06:00,3991.0,HNL
ocds-lcuori-JL7W2L-LP 001-2020-2,ocds-lcuori-JL7W2L-LP 001-2020-2/2,JL7W2L-1602-2020,JL7W2L-LP 001-2020-2,JL7W2L-mrYzL9,Región Departamental de Salud de Santa Bárbara No. 16,1602-2020,goodsOrServices,35620 DIESEL,2020-03-27T00:00:00-06:00,499988.61,HNL
ocds-lcuori-gLkw4L-CM-665-CBD-2020-1,ocds-lcuori-gLkw4L-CM-665-CBD-2020-1/3,gLkw4L-CM-665-CBD-2020,gLkw4L-CM-665-CBD-2020-1,gLkw4L-MLQ77R,Cuerpo de Bomberos Danlí,CM-665-CBD-2020,goodsOrServices,PAGO POR CEPILLAR EN TORNO LOS TAMBORES DE LA UNIDAD HRB-T621 ASIGNADA EN DANLI,2020-03-25T00:00:00-06:00,6900.0,HNL
ocds-lcuori-4LOxWG-23-2020-2,ocds-lcuori-4LOxWG-23-2020-2/2,4LOxWG-1731-2020,4LOxWG-23-2020-2,4LOxWG-mrYzL9,Hospital San Felipe,1731-2020,goodsOrServices,"SOLICITADO POR EL ALMACEN DE MEDICINA, PARA SER UTILIZADO EN EL BANCO DE SANGRE DE ESTE CENTRO ASISTENCIAL, DURANTE EL 1er. TRIMESTRE DEL 2020
",2020-01-28T00:00:00-06:00,559877.5,HNL
ocds-lcuori-4LOxWG-24-2020-2,ocds-lcuori-4LOxWG-24-2020-2/2,4LOxWG-1732-2020,4LOxWG-24-2020-2,4LOxWG-mrYzL9,Hospital San Felipe,1732-2020,goodsOrServices,"SOLICITADO POR EL ALMACEN DE MEDICINA, PARA SER UTILIZADO EN EL BANCO DE SANGRE DE ESTE CENTRO ASISTENCIAL, DURANTE EL 1er. TRIMESTRE DEL 2020
",2020-01-28T00:00:00-06:00,577783.0,HNL
ocds-lcuori-4LOxWG-25-2020-2,ocds-lcuori-4LOxWG-25-2020-2/3,4LOxWG-1734-2020,4LOxWG-25-2020-2,4LOxWG-mrYzL9,Hospital San Felipe,1734-2020,goodsOrServices,"SOLICITADO POR EL ALMACEN DE MEDICINA, PARA SER UTILIZADO EN EL BANCO DE SANGRE DE ESTE CENTRO ASISTENCIAL, DURANTE EL 1er. TRIMESTRE DEL 2020
",2020-01-28T00:00:00-06:00,181596.5,HNL
ocds-lcuori-4LOxWG-25-2020-2,ocds-lcuori-4LOxWG-25-2020-2/3,4LOxWG-1735-2020,4LOxWG-25-2020-2,4LOxWG-mrYzL9,Hospital San Felipe,1735-2020,goodsOrServices,"SOLICITADO POR EL ALMACEN DE MEDICINA, PARA SER UTILIZADO EN EL BANCO DE SANGRE DE ESTE CENTRO ASISTENCIAL, DURANTE EL 1er. TRIMESTRE DEL 2020
",2020-01-28T00:00:00-06:00,188640.0,HNL
ocds-lcuori-4LOxWG-26-2020-2,ocds-lcuori-4LOxWG-26-2020-2/2,4LOxWG-1733-2020,4LOxWG-26-2020-2,4LOxWG-mrYzL9,Hospital San Felipe,1733-2020,goodsOrServices,"SOLICITADO POR EL ALMACEN DE MEDICINA, PARA SER UTILIZADO EN EL BANCO DE SANGRE DE ESTE CENTRO ASISTENCIAL, DURANTE EL 1er. TRIMESTRE DEL 2020
",2020-01-28T00:00:00-06:00,394162.5,HNL
ocds-lcuori-4LOxWG-27-2020-2,ocds-lcuori-4LOxWG-27-2020-2/2,4LOxWG-1736-2020,4LOxWG-27-2020-2,4LOxWG-mrYzL9,Hospital San Felipe,1736-2020,goodsOrServices,"SOLICITADO POR EL ALMACEN DE MEDICINA, PARA SER UTILIZADO EN EL BANCO DE SANGRE DE ESTE CENTRO ASISTENCIAL, DURANTE EL 1er. TRIMESTRE DEL 2020
",2020-01-28T00:00:00-06:00,271624.0,HNL
ocds-lcuori-4LOxWG-27-2020-2,ocds-lcuori-4LOxWG-27-2020-2/2,4LOxWG-1737-2020,4LOxWG-27-2020-2,4LOxWG-mrYzL9,Hospital San Felipe,1737-2020,goodsOrServices,"SOLICITADO POR EL ALMACEN DE MEDICINA, PARA SER UTILIZADO EN EL BANCO DE SANGRE DE ESTE CENTRO ASISTENCIAL, DURANTE EL 1er. TRIMESTRE DEL 2020
",2020-01-28T00:00:00-06:00,39675.0,HNL
ocds-lcuori-gLkw4L-CM-660-CBD-2020-1,ocds-lcuori-gLkw4L-CM-660-CBD-2020-1/3,gLkw4L-CM-660-CBD-2020,gLkw4L-CM-660-CBD-2020-1,gLkw4L-MLQ77R,Cuerpo de Bomberos Danlí,CM-660-CBD-2020,goodsOrServices,para la la unidad HRB-L803 Asignada a la estación local Bmberos Danli.,2020-02-04T00:00:00-06:00,2000.0,HNL
ocds-lcuori-1RaEMR-HJMG-LP-002-2020-2,ocds-lcuori-1RaEMR-HJMG-LP-002-2020-2/5,1RaEMR-HJMG-LP-002-2020,1RaEMR-HJMG-LP-002-2020-2,1RaEMR-mrYzL9,Hospital Juan Manuel Gálvez ,HJMG-LP-002-2020,goodsOrServices,35620 DIESEL,2020-03-26T00:00:00-06:00,522600.0,HNL
ocds-lcuori-yRl6pL-CI-001-SSIS-BID-3371-2020-2,ocds-lcuori-yRl6pL-CI-001-SSIS-BID-3371-2020-2/3,yRl6pL-067/SSIS/BID/3371/2020,yRl6pL-CI-001-SSIS-BID-3371-2020-2,yRl6pL-kR05rP,Unidad Coordinadora de Proyectos ,067/SSIS/BID/3371/2020,consultingServices,"CONTRATACIÓN DE COORDINADOR TÉCNICO DE CALIDAD PARA LA IMPLEMENTACIÓN DEL SISTEMA DE GESTIÓN DE CALIDAD SEGÚN NORMA ISO 9001:2015 DE LA SUB SECRETARÍA DE INTEGRACIÓN SOCIAL.

Remitir su expresión de interés y hoja de vida a la siguiente dirección electrónica: supervision.obras.ssis@gmail.com  ",2020-02-10T00:00:00-06:00,280000.0,HNL
